CODVIA,DESVIA,CIRCOS,MUNICIPIO,PARITA,COLCIV,INIZIO,FINE
53380,PASSO RIO TORBIDO,20,4,D,N,3,25
31920,VIA INNOCENZO QUARTO,14,1,D,N,5,7
13540,SALITA DELLE CASCINE,21,9,P,N,2,10
37840,VIA DON DOMENICO MEIRANA,7,5,P,R,2,24
30460,PIAZZA GIUSTI,16,3,P,N,2,10A
15460,VIA A CESINO,7,5,D,N,1,5B
5560,SALITA BERSAGLIO,5,5,P,N,2,6
41770,PORTICO MURETTE DEL MOLO,12,1,D,N,1,1
6980,VIA BONIFACIO,17,3,P,N,2,4
51980,VICO ANGELO RAFFETTO,9,2,D,N,1,5
64760,VICO SAN VINCENZO,14,1,D,N,1,1
4840,SCALINATA CESARE BECCARIA,9,2,P,N,4,6
53480,PIAZZA RICCARDO RISSOTTO,6,5,P,N,2,2
16360,SALITA ALLA CHIESA DI MONTESIGNANO,19,4,D,N,5,5
24800,TRAVERSA FERRANDO,4,6,D,R,1,7
32980,VICO LAVAGNA,12,1,P,N,2,6
22800,VIA TARCISO DONATI,17,3,P,N,8,20
13900,VIA GIAN DOMENICO CASSINI,9,2,D,N,1,5
46330,VIA PAVERANO,16,3,D,N,1,59
19280,VICO DI SAN COSIMO,12,1,D,R,1,11
43580,VIA OLMO,17,3,P,N,2,32
22960,VIA DONGO,1,7,P,R,4,18
12280,SALITA DI CARBONARA,12,1,P,R,16,42
46220,VIA PASTRENGO,13,1,P,R,4,4
50550,SOTTOPASSAGGIO PORTELLO,12,1,D,R,23,27
23287,PIAZZA HENRY DUNANT,23,8,P,N,2B,48
61920,VIA EVANGELISTA TORRICELLI,21,9,P,N,4,20
25760,VIA FOGLIENSI,15,8,P,N,2,8
58780,SALITA SAN SIRO,12,1,P,R,2,22
26640,VIA UMBERTO FRACCHIA,11,1,P,R,4,72
4040,TRAVERSA GEROLAMO BARILARI,4,6,D,N,1,1
18380,VIA DELLE COMUNAGLIE,21,9,P,N,0X,0X
38140,VIA MERELLA,21,9,D,N,1,3
53100,VIA RENZO RIGHETTI,23,8,D,N,3,15
45360,VIA DI SAN PANTALEO,18,4,D,N,1,59
7920,VIA BRENTA,24,9,P,N,2,52
43660,VIA INFERIORE DEGLI OMETTI,25,9,D,N,5,11
24600,VIA LEONARDO FEA,18,4,P,N,10,10
19160,VIA CORSICA,14,1,P,R,2,92
9932,VIA A CALATA GADDA,12,1,D,N,13,13
64840,PIAZZA VIRGO POTENS,4,6,D,N,1,5
14020,VIA CASTAGNEVIZZA,3,7,P,N,2,10
35280,VIA GIUSEPPE MAJORANA,25,9,P,R,2,100
23700,VIA EMILIA,19,4,D,N,49,51
27530,VIA AURELIANO GALEAZZO,16,3,P,N,2,26
61220,VIA DELLE TERRE ROSSE,21,9,P,N,2,60
63320,VIA CARLO VARESE,16,3,P,R,4,12
62180,VICO TRAU',4,6,D,R,1,23
600,STRADONE DI SANT'AGOSTINO,12,1,P,N,16,32
9520,PIAZZA CADEVILLA,24,9,D,R,1,9
8560,VIA SUPERIORE BUDULLI,7,5,D,N,1,9
43590,PIAZZA DELL'OLMO,19,4,D,N,1E,5
54200,VIA ROLIH,7,5,P,N,2,4
59220,VIA SOTTOROCCA,21,9,P,N,2,6
23060,VIA ANDREA DORIA,12,1,P,R,2,68
23140,VIA LUIGI DOTTESIO,9,2,D,R,11,65
6920,VIA SAN BONAVENTURA,7,5,P,N,2,4
38040,PIAZZA MERANI,23,8,P,R,2,20
38680,VIA DON VINCENZO MINETTI,10,2,D,N,3,7
35920,VIA ANTON MARIA MARAGLIANO,14,1,P,R,2,50
48625,VIA AI PINI DI RIVAROLO,5,5,P,N,6,6
30060,SALITA GIOVANNI DA PIAN DEL CARPINE,6,5,D,N,1,3
27940,VIA ODOARDO GANDUCCIO,25,9,D,N,1,13
10320,VIA DEL CAMOSCIO,17,3,D,N,1,13
39760,SALITA ALLA MONTAGNOLA DEI SERVI,14,1,D,R,19,25
42160,VIA ACHILLE NERI,23,8,P,N,2,10
15360,VIA CERUSA,1,7,P,R,2,64
40230,GALLERIA ASCENSORE DI MONTEGALLETTO,12,1,P,N,0X,0X
26520,VIA DI FOSSATELLO,12,1,P,R,2,32
65440,MURA DELLO ZERBINO,14,1,D,N,1,5
55380,VIA FRANCESCO MARIA RUZZA,25,9,D,R,3,19
23000,VICO DORA,12,1,D,R,1,9
20460,VIA DI SANTA CROCE,12,1,D,R,1,11
24100,VIA NICOLA FABRIZI,24,9,P,N,2,74
46830,PIAZZETTA DELLE PENNE NERE,5,5,D,N,1,9
22360,VIA GIUSEPPE DEZZA,21,9,P,N,20,76
23100,VIA PAGANO DORIA,10,2,P,R,2,30
33460,VIA LEPANTO,5,5,P,N,6,6A
39460,CALATA MOLO VECCHIO LUIGI DURAND DE LA PENNE,12,1,P,N,0A,34
6620,VIA GIACOMO BOERO,22,8,P,N,2,42
17320,PIAZZA CINQUE LAMPADI,12,1,D,N,17,19
8420,VICO NICOLO' BRUNO,9,2,P,N,4,4
63920,PIAZZA VERNAZZOLA,24,9,D,R,1,1
28205,VIA EDOARDO GARRONE,7,5,P,N,10,44
17150,VIA DEI CICLAMINI,24,9,D,N,3,101
5340,VIA FAUSTO BERETTA,23,8,D,R,1,1
600,STRADONE DI SANT'AGOSTINO,12,1,D,N,27,37
47130,LARGO ALESSANDRO PERTINI,14,1,D,N,1,15
35320,MURA DELLA MALAPAGA,12,1,P,R,2,8
40520,SALITA MONTE OLIVETO,3,7,D,N,1,5A
20600,VIA CROCE VERDE,7,5,P,N,2,2
61520,VIA TONALE,8,6,P,R,2A,24
29180,VIA BRUNO GHIGLIONE,9,2,P,N,2,12
42580,SALITA DELLA NOCE,16,3,P,R,2C,12
31600,PIAZZA FRANCESCO GUICCIARDINI,17,3,P,R,2,20
62580,VIA GIOVANNI TROSSARELLI,20,4,P,R,2,150
54960,VIA CESARE ROSSI,23,8,D,R,1,11
46460,VIA PEGLI,3,7,D,R,1,101
59120,VIA ALLE SORGENTI SULFUREE,2,7,D,N,1A,87
42580,SALITA DELLA NOCE,16,3,P,N,2,6
32480,VIA LAIASSO,18,4,P,R,2,12
61140,PIAZZA TERRALBA,16,3,D,R,1,43
3720,VIA RICCARDO BANDERALI,15,8,P,N,6,6
21920,VIA FEDERICO DELPINO,13,1,D,N,3,57
58340,SALITA DELLA SETA,12,1,P,N,4,8
12900,VIA GIOVANNI BATTISTA CARPANETO,9,2,D,R,1,15
25870,VIA DELLE FONDERIE GRONDONA,7,5,P,N,2,16
30020,VIA SAN GIOVANNI D'ACRI,8,6,P,R,2,32
24380,VIA GIUSEPPE FASCE,23,8,P,R,2,8
26320,VIA AL FORTE DI BEGATO,11,1,D,N,5,7
7140,VIA BORGHETTO,2,7,D,R,1E,9
9660,VIA CADORE,23,8,D,N,1,5
47050,VIA DON LORENZO PEROSI,23,8,D,N,11,13
33360,PIAZZA SAN LEONARDO,14,1,D,R,1,7
13960,VIA CASTAGNATO,19,4,P,N,2,34
33040,VICO DEI LAVATOI,12,1,P,N,12,12
57920,VIA SERRA DI BAVARI,21,9,D,R,5,15
22740,VIA DEI DOMENICANI,8,6,D,R,3,23
6840,VIA BOLZANO,25,9,P,N,2,18
52600,VIA REDIPUGLIA,24,9,P,N,2,80
34460,PIAZZA LUCCOLI,12,1,P,N,2,2
26580,VIA FOSSATO DI SAN BIAGIO,7,5,P,N,2,8
13900,VIA GIAN DOMENICO CASSINI,9,2,P,R,2,30
36580,SCALINATA SANTA MARIA IN VIA LATA,14,1,D,N,1,5
51960,VICO SAN RAFFAELE,12,1,P,N,2,6
32640,LARGO EROS LANFRANCO,14,1,P,N,2,2
37820,VIA GIACOMO MEDICI DEL VASCELLO,23,8,D,N,3,7
33860,DISCESA SANTA LIMBANIA,1,7,D,N,1,3
55540,CORSO AURELIO SAFFI,15,8,D,R,1,41
20380,VIA PIETRO CRISTOFOLI,9,2,P,R,2,68
20040,SALITA GIO MARIA COTELLA,19,4,D,R,31,51
60680,VIA TORQUATO TASSO,5,5,P,N,2,2
36080,PIAZZETTA GIULIO MARCHI,13,1,P,N,4,8
45870,VIA GIORGIO PARODI,23,8,D,N,5,11
62560,VICO TROMBETTIERI,12,1,P,R,4,4
47520,VIA PIANATA,21,9,D,N,17,27
40640,SALITA DI MONTEROSSO,12,1,D,N,5,5
8180,VIA ALLA BRIGNA,1,7,D,N,1,37A
40580,VIA MONTE PIANA,25,9,P,N,0X,0X
61780,VIA AL TORRENTE MOLINASSI,4,6,D,N,1,27
53420,VIA RIPA DI GATTEGO,25,9,D,N,1,3
2100,SALITA DELL'AQUILA,17,3,D,R,1,15
13240,VIA DELLE CASACCIE,14,1,P,N,2,222
22140,VIA ITALO D'ERAMO,24,9,P,R,2,62
1040,VIA VITTORIO ALFIERI,9,2,P,N,2,4
56580,VIALE SAULI,14,1,P,N,2,34
11500,VIA ANTONIO CANOBBIO,4,6,P,R,2,22
56980,VIA SCARPANTO,2,7,D,N,51D,51D
41940,VIA NAPOLI,11,1,D,R,3,175
56840,VIA DELLA SCALINATA,23,8,P,N,2,18
10640,VIA CAMPI,5,5,D,R,1,19
7260,VIALE GIACOMO BORNETO,7,5,P,N,4,20
20000,VIA SUPERIORE COSTIGLIOLO,25,9,P,N,2,22
53135,VIALE ERMELINDA RIGON,4,6,P,N,4,18
51200,VIA DI PRE',12,1,P,R,2,188
62320,VIA TRENSASCO,19,4,D,N,1,51
15280,VIA ENRICO CERNUSCHI,5,5,P,N,2,6
57100,CROSA SCHIAVETTA,1,7,D,N,1,11
29760,VIA VINCENZO GIOBERTI,9,2,D,R,1,63
15300,VIA MARCELLO CERRUTI,4,6,P,N,2,40
17680,VICO PIER MARIA CIURLO,9,2,D,N,1,1
52080,VIA EDILIO RAGGIO,12,1,P,N,4,4
55840,VIA SAMBUGO,1,7,P,N,2,10
34440,VICOLO LUCCHI,25,9,P,R,2,4
19380,VIA COSTA,20,4,D,N,1,3
11290,VIA EMANUELE CANESI,4,6,D,N,13,69
60420,VICO TACCONI,12,1,P,N,2,2
41900,VIA EMANUELE MUZIO,1,7,D,R,11,17
43880,PIAZZA DI OREGINA,11,1,P,N,44,44
65520,SENTIERO ZINGARELLO,4,6,D,N,1,1
30420,VIA DELLA GIUSEPPINA,10,2,P,N,2,22
69549,GIARDINI DEL VOLONTARIATO,9,2,P,N,0X,0X
51240,SALITA PRELI,19,4,D,N,1,145
11620,VIA AI CANTIERI,1,7,P,R,4,10
55220,VIA MADRE FRANCESCA RUBATTO,13,1,D,R,5,11
17140,VICO CICALA,12,1,P,R,4,8
48100,VIA ANTONIO PICCONE,5,5,D,R,3,57
12210,VIA AL PONTE CARACCIOLO,10,2,P,N,0X,0X
59160,VICO SORRIPA,4,6,D,R,1,3
37850,VIA FRATELLI MELDI,4,6,P,N,2,26
20,VIA GIUSEPPE CESARE ABBA,9,2,D,R,5,51
55920,LARGO GIOVANNI ANDREA SANGUINETI,12,1,D,R,37A,47
42380,PIAZZA NICOLO' DA VOLTRI,1,7,P,R,2,8
55760,VICO SALVAGHI,12,1,P,N,2,22
38120,VIA DELLA MERCANZIA,12,1,P,R,4,8
26740,PIAZZA FRANCESCO D'ASSISI,14,1,P,N,0,0
40020,SALITA DI MONTEBELLO,12,1,P,N,6A,20
10240,VICO DELLE CAMELIE,12,1,P,R,8,26
21660,VIA ORESTE DE GASPARI,23,8,P,R,2,34
61180,SALITA AI TERRAPIENI,16,3,D,R,1,7
55540,CORSO AURELIO SAFFI,15,8,P,N,4B,4B
24660,VIA FEGINO,5,5,D,N,1,19
33160,VIA LAVIOSA,3,7,D,N,3,39
55480,VIA MAURIZIO SACCHI,22,8,D,N,5,11
60920,SALITA SUPERIORE DI SANTA TECLA,22,8,P,N,2,24
8700,VIA GIACOMO BURANELLO,9,2,P,R,2,252
54380,VIA RONCALLO,25,9,D,N,1,7
23640,PIAZZA EMBRIACI,12,1,P,N,2,4
62540,VICO AL TROGOLETTO,12,1,P,N,2,4
35140,SALITA MAGGIOLO DI NERVI,25,9,P,N,2,16
7560,VICO DEI BOTTAI,12,1,P,N,2,4
15200,VICO CERA,12,1,P,R,2,14
28940,SCALINATA DI SAN GEROLAMO,13,1,D,N,1,1
15495,VIA LUIGI CHERUBINI,5,5,P,N,4,16
12440,PIAZZA DI CARIGNANO,14,1,D,N,1,1
57160,SALITA LUIGIA SCIALLERO,2,7,D,N,1,29
42440,VIA NICOLOSO DA RECCO,3,7,P,R,4,20
14640,PIAZZA DEL CAVALLETTO,14,1,P,R,10,26
8310,VIA BRINDISI,11,1,D,N,1,43
52680,VIA URBANO RELA,9,2,D,N,1,13
34020,VIA LODI,19,4,D,N,1,229
47920,VIA GIUSEPPE PIANTELLI,18,4,P,N,2,10
56220,VICO SAPONIERA,8,6,D,R,1,9
14940,VIA ANTON PAVLOVIC CECHOV,5,5,P,N,40,44
56690,PIAZZA ERNESTO SAVIO,8,6,D,N,1,5
12280,SALITA DI CARBONARA,12,1,P,N,14,28
21980,VIA DE MARI,2,7,D,N,1B,67
56080,SALITA INFERIORE AL SANTUARIO,4,6,P,N,2,4
47790,VIA AI PIANI DI FREGOSO,5,5,P,N,14,110
7860,SALITA BRASILE,6,5,D,N,1,91
63980,VIA VERONA,8,6,P,R,2,46
1840,VIA ORAZIO ANTINORI,4,6,D,N,1,1
54440,SALITA RONCO,6,5,D,N,7,15A
48100,VIA ANTONIO PICCONE,5,5,D,N,1,15
20100,VIA ENRICO CRAVERO,15,8,D,N,1,1
42240,VICO DELLA NEVE,12,1,D,N,1,11
90120,MERCATO PIAZZA DEL CARMINE,12,1,P,N,0,0
62520,VIA DEL TRITONE,24,9,P,N,4,18
32020,VICO INVREA,12,1,D,R,3,9
24700,VIA DELLA FENICE,16,3,D,R,1,5
30980,VIA EMILIO GRANELLO,24,9,D,N,1,1B
43100,PIAZZA DELLA NUNZIATA,12,1,D,R,1,29
50400,VIA A PORTA DI SAN BARTOLOMEO,13,1,D,N,1,1
43260,VIA SUPERIORE DELL'OLBA,1,7,D,N,1,45
42280,VIA FOSSATO DI SAN NICOLO',13,1,P,R,10,28
7240,VIA BORGORATTI,22,8,P,N,18,82A
64560,VIALE VILLA GLORI,14,1,P,R,2,8
4100,SALITA DI SAN BARNABA,13,1,D,R,1,21
7140,VIA BORGHETTO,2,7,P,R,2B,30R
52440,VIA DI RAVECCA,12,1,D,R,1,79
40400,VIA MONTELUNGO,19,4,P,R,62,70
45260,VIA OGERIO PANE,13,1,D,N,1,5
16940,VIA ENRICO CIALDINI,1,7,P,R,2,42
32240,PIAZZETTA JACOPO DA VARAGINE,12,1,P,N,2,2
34360,VICO SAN LUCA,12,1,P,R,2,2
26160,VIA ALLA FORNACE DEL GARBO,5,5,D,N,11,93
24760,VIA SAN FERMO,10,2,D,N,1,9
63990,PONTE GIOVANNI VERONELLI,18,4,P,N,0X,0X
12340,VIA CLAUDIO CARCASSI,14,1,D,R,1,15
10940,VIA FRANCESCO CAMPORA,5,5,D,N,1,7
54660,VICO DEL ROSARIO,12,1,D,R,1,3
24780,PASSO SPARTACO FERRADINI,16,3,P,R,18,24
39160,VIA MOLINETTI DI NERVI,25,9,D,N,1,85
13180,VIA ALFREDO CARZINO,9,2,D,N,1,7
880,VIA SANT'ALBERTO,4,6,P,R,2,280
51420,VIA PRIARUGGIA,24,9,P,N,12,60
51300,VIA ALLA PRESA,20,4,P,N,2,12
980,VIA ALEMANNO DA COSTA,4,6,P,R,2,8
40,VIA DELLE ACACIE,19,4,D,N,21,21
52530,VIA ENRICO RAZETO,22,8,P,N,2,12
32960,PIAZZA LAVAGNA,12,1,P,R,2,22
37300,VICO PELLEGRO MARUFFO,1,7,D,N,1,1
45630,VIA PARCO DEL PERALTO,11,1,P,N,30,30
9720,VIA CAFFA,15,8,D,R,1,45
50760,VIA DELLA POSTA VECCHIA,12,1,D,R,11,29
12940,VIA CARPENERA,17,3,D,N,1,23
64220,VIA CAMILLO VIANSON,3,7,D,R,1B,37
24960,VIA ALLA FERRIERA DI PONTEDECIMO,7,5,D,N,1,3
5800,VIA G BETTOLO (PORTO),9,2,P,N,0,0
27080,VICO DEI FREGOSO,12,1,P,R,4,54
18340,VICO DELLE COMPERE,12,1,D,R,1,31
52760,PASSO RENATO,20,4,D,R,1,1
25640,VIA FIUME,14,1,D,R,1,13
57080,VICO SCHIAFFINO,4,6,D,N,1,5
3160,VIA GIUSEPPE AVEZZANA,11,1,D,R,3,13
69597,PONTE MARTIN,19,4,P,N,0X,0X
38620,SALITA GIOVANNI BATTISTA MILLELIRE,9,2,P,N,2,4
39400,VIA AL MOLO CAGNI,12,1,P,N,2,6
46440,LUNGOMARE DI PEGLI,3,7,D,N,1,69
8020,VIA BRIGATA LIGURIA,14,1,D,R,1,105
7300,VIA BORZOLI,5,5,D,R,159D,203
46240,VIA PASUBIO,6,5,P,R,2,44
1480,VICO DELL'AMOR PERFETTO,12,1,D,N,3,13
42720,VIA DAI NOFFI AI MARSANO,25,9,P,N,2,2
6240,VICO BISCOTTI,12,1,P,N,4,12
39200,VIA MOLINETTO DI VOLTRI,1,7,D,R,1,31
21780,VIA FABRIZIO DEL CARRETTO,4,6,D,N,1,9
2880,VIA ALL'ASILO DAVIDE E DELFINA GARBARINO,10,2,P,R,2,32
9720,VIA CAFFA,15,8,P,R,2,34
22660,VIA DODICI OTTOBRE,14,1,P,N,2,14
32560,SCALINATA DEI LANDI,9,2,D,R,3,7
9360,VIA CA' DEL BIANCO,21,9,P,N,2,6
53270,VIA INFERIORE RIO MAGGIORE,19,4,P,N,2,8
42280,VIA FOSSATO DI SAN NICOLO',13,1,D,N,1,21
7940,VIA DI BRERA,14,1,P,R,10,60
23280,VIA LORENZO DUFOUR,8,6,D,N,1,3
14480,SALITA CATALDI,4,6,D,N,13,55
49540,VIA POLLERI,12,1,D,N,3,11
40400,VIA MONTELUNGO,19,4,D,N,71,123
17100,VIA LUIGI CIBRARIO,4,6,P,N,2,4
55760,VICO SALVAGHI,12,1,D,R,5,27
7160,VIA DEL BORGO,21,9,D,N,1,71B
33200,CALATA SAN LAZZARINO,10,2,P,N,0X,0X
6420,VICO BOCCADORO,12,1,D,R,5,13
4120,SALITA INFERIORE DI SAN BARNABA,13,1,D,R,1,31
27520,VIA GALATA,14,1,D,R,17,109
10700,VIA DEL CAMPO,12,1,P,R,2,86
17810,VIA FRATELLI CODA,25,9,D,N,1,73
52380,VIA EMANUELE RAVANO,25,9,D,N,1,19
31980,VIA INTERIANO,12,1,D,N,1,3
620,VIA GIOVANNI AICARDI,20,4,D,N,1,11
59240,PIAZZA DI SOZIGLIA,12,1,D,R,85,99
42620,VICO DELLA NOCE,12,1,P,R,4,10
45440,VICO DI SAN PAOLO,12,1,D,R,1,1
35680,VIA LUIGI MANFREDI,24,9,P,N,2,6
63560,VIA SUPERIORE DEL VEILINO,18,4,D,N,25,25
22460,CALATA ANDALO' DI NEGRO,12,1,P,N,2,16
50440,SALITA DI PORTAFICO,12,1,P,N,2,2
30760,VICO GOVERNOLO,9,2,D,R,1,1
6480,VICO BOCCANEGRA,12,1,P,R,10,10
8140,SALITA DI SANTA BRIGIDA,12,1,D,R,11,13
33080,VIA LAVEZZARA,17,3,P,N,2,20
3240,SALITA BACHERNIA,13,1,P,R,20,20
44520,VIA ANTONIO PACINOTTI,9,2,P,N,2,20
42380,PIAZZA NICOLO' DA VOLTRI,1,7,D,N,1,1
16220,VIA ALLA CHIESA DI BEGATO,5,5,D,N,3,15
58800,VIA SAN SIRO,12,1,P,R,2,36
15340,SCALINATA A VIA CERUSA,1,7,D,N,1,1
47620,VIA PIAN DI CROCE,25,9,P,N,0X,0X
54960,VIA CESARE ROSSI,23,8,P,R,6,22
58880,VIA SMIRNE,15,8,P,R,2,16
19520,VIA COSTA D'ERCA,1,7,P,N,2,30A
63680,PIAZZA GIACOMO VENEZIAN,2,7,P,R,2,8
56980,VIA SCARPANTO,2,7,P,N,18C,38
4620,PIAZZA BATTELLI,8,6,P,N,2,6
59260,VIA DI SOZIGLIA,12,1,P,N,72,94
56140,PIAZZA AL SANTUARIO DI CORONATA,8,6,D,N,3,3
200,VIA ACQUARONE,13,1,P,N,4,66
34180,VIA SOFIA LOMELLINI,14,1,D,N,3,3
27880,SALITA SUPERIORE GAMBONIA,20,4,P,N,2,20
64200,VICO VIANI,5,5,P,R,2,4
52300,VIA GEROLAMO RATTO,2,7,P,N,8,32
15020,VIA BENVENUTO CELLINI,16,3,D,R,1,41
42140,VICO NEREO,25,9,P,N,2,6
20700,SALITA DELLA CROSETTA,18,4,P,R,2,12
25000,VIA FERRIERE DI VOLTRI,1,7,D,N,1,5
24540,SALITA DELLA FAVA GRECA,12,1,P,R,6,20
5880,SALITA NICOLO' BIAGI,1,7,D,N,1,21
30500,PIAZZA DEI GIUSTINIANI,12,1,P,N,6,6
12100,VIA CAPRERA,24,9,P,N,18,18
5240,VIA SAN BENO,19,4,D,N,1,5
52920,VIA REXELLO,3,7,P,N,6,34
49240,SCALINATA AL POGGIO DELLA GIOVINE ITALIA,14,1,P,N,0X,0X
13320,VIA CASALE,21,9,P,N,2,10C
6360,PIAZZALE BLIGNY,19,4,D,R,1,21
49020,VIA DEI PLATANI,18,4,P,N,6,24
31740,VIA ILVA,14,1,P,N,2,4
48180,VIA DELLA PIETRA,5,5,D,R,1,27
24130,VIA FAENZA,10,2,P,N,14,30
48860,VIA PISA,23,8,P,R,2,72
57860,VIA SERRA,14,1,D,N,1,9
3580,VIA BALLARI,25,9,P,N,2,2
24160,VIA DEL FAGGIO,18,4,P,R,8,20
1460,PIAZZA DELL'AMOR PERFETTO,12,1,D,N,5,11
37720,VIA PELLEGRINO MATTEUCCI,8,6,D,N,1,3
44780,VIA PALAZZO DELLA FORTEZZA,9,2,D,N,1,11
14760,VIA CAVASSOLO,20,4,D,N,1,33
22440,VIA DIGIONE,10,2,P,N,2,18
49815,PONTE CALVI,12,1,P,N,2,8
23820,PIAZZA DELLE ERBE,12,1,D,N,5,11
55320,PASSO RUSCAROLO,4,6,D,N,1,71
53500,VIA ADELAIDE RISTORI,5,5,P,N,2,16
35310,PIAZZALE EDOARDO MALACHINA,3,7,P,N,0X,0X
58720,VIA SIRACUSA,4,6,D,R,1,3
22300,CORSO ALESSANDRO DE STEFANIS,17,3,D,R,1,181
47660,VIA PIANDILUCCO,3,7,D,R,1,31
6060,VIA BIDONE,7,5,P,N,10,10
6080,VIA GIACOMO BIGA,17,3,P,R,2,150
29170,PIAZZALE ATTILIO GHIGLIONE,7,5,P,N,2,2
1400,VIA AMMARENGO,17,3,P,N,2,10
62040,SALITA PAOLO TOSCANELLI,4,6,D,N,1,25
1100,VIA FEDERICO ALIZERI,10,2,P,N,2,10
24180,VICO FALAMONICA,12,1,D,N,1,9
42860,PASSO NOSTRA SIGNORA DEGLI ANGELI,1,7,D,N,1,1B
52300,VIA GEROLAMO RATTO,3,7,D,N,1,11A
35820,VIA ALDO MANUZIO,16,3,D,R,5A,137
15420,VIA CESAREA,14,1,P,N,2,16
22480,PIAZZA DINEGRO,10,2,P,N,4,6
47860,VIA AL PIANO DELLE MONACHE,3,7,D,N,1C,7
57320,VIA ALLA SCOGLIERA,25,9,D,R,1,3
52420,VIA EUGENIA RAVASCO,12,1,D,N,1,13
64020,VIA VESIMA,1,7,P,R,2,4
53980,SALITA SUPERIORE SAN ROCCHINO,13,1,P,N,40,52
5360,VIA PASQUALE BERGHINI,16,3,D,R,1,153
46540,VIA ANTONIO PELLEGRINI,9,2,P,R,6A,12
18940,VICO DIETRO IL CORO DELLA MADDALENA,12,1,P,R,2,40
54400,SALITA RONCHETTI,19,4,D,N,1,1
3480,VIA PIETRO BALESTRAZZI,11,1,P,R,38,60
62800,VIA SANT'UGO,11,1,P,R,2,22
56160,VIA AL SANTUARIO DI NOSTRA SIGNORA DELLA GUARDIA,6,5,D,R,27,51
63980,VIA VERONA,8,6,D,N,1,7
2060,VIA APPARIZIONE,21,9,P,R,6,46
63120,VIA DI VALLECHIARA,12,1,D,N,1,9
22020,VIA DE MARINI,9,2,P,N,2,62
27880,SALITA SUPERIORE GAMBONIA,20,4,D,N,1,21
48260,VICO DELLE PIETRE PREZIOSE,12,1,D,N,1,1
43360,VIA DOMENICO OLIVA,4,6,P,N,2,52
22120,VIA GIUSEPPE DE PAOLI,16,3,P,R,2,36
35620,VIA TERENZIO MAMIANI,9,2,D,R,1,39
1740,SALITA SUPERIORE DI SANT'ANNA,13,1,D,N,1,3
15280,VIA ENRICO CERNUSCHI,5,5,P,R,2,16
52980,VIA RAFFAELE RICCA,17,3,P,R,8,8
28340,VIA GATTEGO,25,9,D,N,1,13
2660,VIA VALENTINO ARMIROTTI,9,2,D,N,1,9
4540,CORSO UGO BASSI,11,1,P,N,2A,54
64915,GIARDINI GIUSEPPE VITALI,23,8,P,N,0X,0X
12440,PIAZZA DI CARIGNANO,14,1,P,N,2,2
56220,VICO SAPONIERA,8,6,P,R,2,22
43580,VIA OLMO,17,3,D,N,1,29
17440,VICO DEL CIOCCOLATTE,12,1,D,N,17,23
16600,PIAZZA DELLA CHIESA DI SANT'EUSEBIO,19,4,P,N,2,10
15060,VIALE CEMBRANO,24,9,D,N,1,29
52860,VIA PAOLO RETI,9,2,P,R,2,28
22440,VIA DIGIONE,10,2,D,R,1,1
51260,VIA PREMANICO,21,9,P,R,4,30
54480,VIA RONCONE,24,9,D,R,3,3
11260,VIA LUIGI CANEPA,20,4,P,R,2A,40
6380,VIA BOBBIO,18,4,P,R,32B,382
69604,PASSO AVE MARIA ZENEIZE,23,8,P,N,0X,0X
53925,VIA SUPERIORE ROCCHE DI BAVARI,19,4,P,N,18,50
57260,PIAZZA ANTONIO SCIOLLA,25,9,D,N,1,3
38340,VIA GIOVANNI MIANI,9,2,P,R,2,14
29160,PIAZZA ANTONIO GHIGLIONE,9,2,D,R,1,23
45380,VIA FRA' GIOVANNI PANTALEO,6,5,D,N,1,17
50660,VICO CHIUSO DEL PORTICO,10,2,D,N,3,9
36340,PIAZZA DI SANTA MARIA DEGLI ANGELI,12,1,P,R,2,6
44400,VIA OTTAVA SOCIETA' CASE,4,6,D,R,3,23
24030,VIA AL PONTE ETIOPIA,9,2,P,N,0X,0X
59180,VICO SOTTILE,12,1,D,N,1,1
47015,VIA LUIGI PERINI,8,6,D,N,5,9
51440,VIALE PRIMAVERA,24,9,D,R,1,37
40040,VIA FRANCESCO MONTEBRUNO,18,4,P,R,2,50B
44780,VIA PALAZZO DELLA FORTEZZA,9,2,D,R,19,75
52260,VIA GIOVANNI RASORI,5,5,P,N,2,8
61210,SCALINATA TERRA RUBRA,25,9,P,N,4,4
38820,VIA DEL MIRTO,18,4,P,R,6,14
54460,VIA NINO RONCO,9,2,D,N,1,73
7380,VIA DEL BOSCHETTO,8,6,P,N,2,60
22200,PASSO DE ROSSI,3,7,D,N,1,7
8310,VIA BRINDISI,11,1,P,N,2,44
90310,MERCATO CERTOSA,5,5,P,N,0,0
50940,VIA POZZUOLO DEL FRIULI,23,8,D,N,1,3
21100,VIA FRA' DANIELLO DA VOLTRI,1,7,P,N,0,0
3220,VIA AYROLI,16,3,D,R,1,97
25980,VIA DELLE FONTANE,12,1,P,N,2,14
29340,PIAZZA SAN GIACOMO DELLA MARINA,12,1,P,N,2,2
29600,VIA DEL GIGLIO,17,3,D,N,5,11
35440,GIARDINI CARLO MALINVERNI,11,1,P,N,0X,0X
15880,VIA CHIAPPETO,22,8,D,N,1,25
36640,VIA MARIA SANTISSIMA AUSILIATRICE,2,7,P,N,2,6A
63000,VICO ENRICO UZIEL,9,2,D,R,1,3
9000,VIA PRIMA CADALE,19,4,P,N,2,32
2940,VIA ASOLONE,6,5,D,N,1,1
