CODVIA,DESVIA,CIRCOS,MUNICIPIO,PARITA,COLCIV,INIZIO,FINE
90320,MERCATO BOLZANETO,6,5,P,N,0,0
60340,PIAZZA STURLA,24,9,P,N,2,2
21020,VICO DAMIATA,12,1,P,R,2,18
60440,VIA TAGGIA,2,7,D,N,1,11
32240,PIAZZETTA JACOPO DA VARAGINE,12,1,P,R,2,28
2860,VICO ASILO,8,6,D,N,1,1
55360,VIA RUSTICO DA CASCHIFELLONE,7,5,P,N,2,2
15280,VIA ENRICO CERNUSCHI,5,5,D,R,1,11
47740,VIA PIANELETTI,24,9,D,N,1,71
5420,VIA ELIA BERNARDINI,19,4,P,N,2,102
49520,SALITA POLLAIUOLI,12,1,P,R,12,76
22360,VIA GIUSEPPE DEZZA,24,9,P,N,14,16
17620,SCALINATA DELLA CITTADELLA,12,1,D,N,1,3
730,VIA ENRICO ALBARETO,4,6,D,N,11,37
45120,SALITA PAL PICCOLO,19,4,P,N,2,26
47400,VIA GIULIO PEZZALI,19,4,P,R,2,6
18960,VICO DIETRO IL CORO DELLE VIGNE,12,1,P,R,2,32
16980,VIA CIAMBRINI,6,5,D,N,1,29
39860,VIA LEONARDO MONTALDO,17,3,P,R,144,160
61120,VIA TERPI,19,4,D,R,1,113
49580,VIA UGO POLONIO,6,5,P,R,2,78
640,VIA CESARE AIRAGHI,2,7,P,R,2,40
41320,VIA GIACOMO MORESCO,17,3,D,R,1,35
210,GIARDINI ALDO ACQUARONE,13,1,P,N,0X,0X
22660,VIA DODICI OTTOBRE,14,1,P,R,2,196
58360,VIA GUIDO SETTE,4,6,D,R,1,53
16620,SCALINATA ALLA CHIESA DI SANT'ILARIO,25,9,P,N,6,22
18740,SALITA DANTE CONTE,9,2,D,N,3,57
47300,VICO PESSAGNO,4,6,P,R,2,24
13800,VIA CASSA DI RISPARMIO,12,1,P,N,4,16
24560,VIA FAVALE,6,5,D,N,1,17
6740,VIA ARRIGO BOITO,3,7,P,R,2C,54
43420,SALITA OLIVARO,4,6,P,N,6,12
14240,VIA AGOSTINO CASTELLI,9,2,D,N,1,7
19840,VIA SUPERIORE COSTA D'ORECCHIA,24,9,P,N,2,38
47360,VIA PETRARCA,14,1,D,N,1,3
47940,VIA PIAVE,23,8,D,R,1A,9
24440,VIA DELLA FASSA,25,9,D,N,1,57
21280,VIA DARDANELLI,3,7,D,R,1,21
13140,VICO DEI CARTAI,12,1,P,N,2,2
31520,PIAZZALE EMILIO GUERRA,5,5,P,N,2,2
20220,VIA DI CRETO,20,4,P,N,2,134
62080,VIA PIETRO TOSELLI,16,3,P,N,8,16
44420,VIA OTTONELLI,7,5,D,R,1,25
49580,VIA UGO POLONIO,6,5,D,R,1,31
61960,VIA GIOVANNI TORTI,16,3,D,N,1,43
62720,SALITA TUVIO,4,6,D,N,1C,11
25400,VIA WALTER FILLAK,5,5,D,R,191,265
58440,VIA SIENA,23,8,P,R,6,22
56820,VIA SCALETTE,20,4,P,N,2,12
60280,VIA STRUPPA,20,4,P,R,2,364
9440,ACCESSO A VIA CADERIVA,18,4,P,N,2,4
21500,VIA DON PASQUALE DE BARBIERI,25,9,D,R,7,29
30550,PIAZZALE DEI GLICINI,3,7,D,N,1,1
7640,VIA VITTORIO BOTTEGO,9,2,P,R,2,12
48700,VIALE A PINO SOTTANO,19,4,P,N,2,50
20300,VIA CRIMEA,15,8,D,R,1,17
2500,VICO DELL'ARGENTO,12,1,D,R,13,17
35280,VIA GIUSEPPE MAJORANA,24,9,P,R,64A,64A
4260,PASSO DI SAN BARTOLOMEO,13,1,D,R,1,1
63120,VIA DI VALLECHIARA,12,1,D,R,1,29
33440,PIAZZA LEOPARDI,23,8,D,R,1,19
8560,VIA SUPERIORE BUDULLI,6,5,P,N,10,12
35240,VIA MAINETTI,24,9,P,R,4,14
7080,VIA BORGANO,20,4,D,N,1,11
1020,VIA GALEAZZO ALESSI,14,1,D,N,1,7
15360,VIA CERUSA,1,7,D,N,1,43
41820,SALITA INFERIORE DI MURTA,6,5,D,N,3,59
58860,VIA FRANCESCO SIVORI,13,1,P,N,2,16
48880,VIA PISACANE,15,8,P,N,6,20
300,VIA ADAMELLO,5,5,P,R,2,50
2600,VIA LUDOVICO ARIOSTO,5,5,P,R,2,56
41480,VIA MOTTA,17,3,D,N,1,9
31120,VIA DELLE GRAZIE,12,1,D,N,3,27
55080,VIA DELLE ROVARE,16,3,D,N,19,23
6100,VIA GIUSEPPE BIGLIA,14,1,P,N,2,2
49080,VIA ANDREA PODESTA',2,7,D,N,5,53
4660,VIA CESARE BATTISTI,23,8,P,N,2,10
61260,VICO TESTADORO,12,1,P,N,2,2
47840,VIA DEL PIANO,17,3,P,R,2,22A
30170,VIA GIOVANNI VENTITREESIMO,16,3,D,N,3,77
780,VIA DELL'ALBERO D'ORO,16,3,D,N,1,11
33060,VICO LAVATOI RONDINELLA,5,5,P,R,2,8
22100,VIA GIUSEPPE DE NOTARIS,4,6,D,R,1B,3
24860,VICO FERRARI,12,1,P,N,2,4
46960,VIA INFERIORE PERASSO,24,9,D,N,7,19
37280,PIAZZETTA DEI MARUFFO,12,1,P,R,22,26
44060,VIA ANTONIO OROBONI,21,9,P,N,2,12B
29320,VIA SAN GIACOMO APOSTOLO,8,6,D,N,1,11
10040,VIA GIACINTO CALDESI,3,7,P,R,20,22
26900,SALITA FRANZONINA,17,3,P,N,2,6
2580,PIAZZA GIUSEPPE ARIMONDI,7,5,P,R,2,8
47920,VIA GIUSEPPE PIANTELLI,18,4,P,R,2,50
49560,VIA MARCO POLO,13,1,D,R,1,55
23980,VIA ERZELLI,4,6,P,N,2,12
15040,VICO CEMBALO,12,1,D,R,3,5
45560,VIA ACHILLE PAPA,11,1,P,N,2,2
2770,VIA DEGLI ARTIGIANI,6,5,P,N,56,96
21640,PIAZZA DE FRANCHI,12,1,D,R,1,3
10450,VIA DELLE CAMPANULE,24,9,D,N,59,129
35060,CORSO FERDINANDO MAGELLANO,9,2,D,R,5,49
31550,SCALINATA FILIPPO GUERRIERI,23,8,P,N,0X,0X
26040,PIAZZA DELLE FONTANE MAROSE,12,1,P,N,2,6
10500,SALITA CAMPASSO DI SAN NICOLA,4,6,P,R,2,24
44680,VIA PAGLIA,4,6,P,N,6,66
35940,PIAZZALE MARASSI,17,3,D,N,1,3
41420,TERRAZZA ENRICO MOROVICH,11,1,P,N,0X,0X
25700,VIA FLORA,23,8,P,N,2,20
4380,VIA SAN BARTOLOMEO DEL FOSSATO,10,2,P,R,260,262
30980,VIA EMILIO GRANELLO,25,9,D,N,15,17
48400,VICO PIEVE DI SAN MARTINO,9,2,P,R,2,4
940,VIA AUGUSTO ALBINI,9,2,P,R,2,40
37220,VIA MARTIRI DELLA LIBERTA',3,7,D,R,1,81
55290,GIARDINI LUIGI RUM,10,2,P,N,0X,0X
3640,VIA SUPERIORE DELLE BANCHELLE,18,4,P,N,4,6
14450,GIARDINI ANTONINO CASU,23,8,P,N,0X,0X
38680,VIA DON VINCENZO MINETTI,10,2,D,R,1,21
14780,PIAZZETTA CAVE DI SELZ,4,6,D,R,1,7
5400,VIA DELLE BERNARDINE,14,1,P,N,4,6
25720,VIA DEI FLORICOLTORI,25,9,D,R,1,25
18300,VIA DEL COMMERCIO,25,9,P,N,2,140
35760,PIAZZA GIOVANNI MANTERO,5,5,P,N,2,2
35200,VIA GIOVANNI BATTISTA MAGNAGHI,15,8,D,N,1,3
23040,PONTE ANDREA DORIA,12,1,P,N,0,0
21600,PIAZZA RAFFAELE DE FERRARI,12,1,P,R,24,44
240,PIAZZA ACQUAVERDE,12,1,P,N,2,4
18600,VIA DEI CONSERVATORI DEL MARE,12,1,D,R,3,67
61040,VIA TEODORO SECONDO DI MONFERRATO,3,7,P,N,2,22A
8040,VIA BRIGATA SALERNO,24,9,D,N,11,21
28880,ACCESSO A SALITA SUPERIORE SAN GEROLAMO,13,1,D,N,3,3
54240,VIA ROLLINO,4,6,P,R,18,84
56540,VICO SATURNO,12,1,D,N,17,17
27960,PIAZZA GIUSEPPE GARRASSINI GARBARINO,18,4,P,N,2,4
64940,PIAZZA DELLA VITTORIA,15,8,D,R,11,133
61180,SALITA AI TERRAPIENI,16,3,D,N,3,7
58800,VIA SAN SIRO,12,1,D,N,1,5
960,VIA ALEARDO ALEARDI,5,5,D,R,1,23
61660,VIA ALLA TORRE DELL'AMORE,23,8,D,R,3,15
880,VIA SANT'ALBERTO,3,7,P,N,44C,54F
53580,PIAZZA BATTISTINO RIVARA,5,5,D,N,1,3
1280,VIA SANT'AMBROGIO DI FEGINO,5,5,D,R,1,31
17520,VIA CIPRO,15,8,P,N,2,4
48720,VIA SAN PIO DECIMO,23,8,P,R,20,104
5280,VIA GIUSEPPE ELIA BENZA,4,6,D,N,1,1
35920,VIA ANTON MARIA MARAGLIANO,14,1,P,N,2,10
11000,VIA FRATELLI CANALE,22,8,P,N,4,38
27640,VIA GIUSEPPE GALLIANO,4,6,D,R,1,59
48740,VIA SERGIO PIOMBELLI,5,5,P,N,2,58
